Year,Month,City,AQI,Car,Bike,TotalGarbageT,GeneralGarbageT,HugeGarbageT,RecycleGarbageT,KitchenWasteT,WastePerPersonKG,PenaltyConstruction,PenaltyPollution,PenaltyMobilePollution,ExamConstruction,ExamPollution,ExamMobliePollution
94,11M,臺中市,orange,870587,1462620,9263,4659,75,3660,869,0.906,0,2,61,5,41,3011
94,12M,臺中市,orange,870633,1464949,8257,4176,90,3139,852,0.781,0,2,7,5,35,2110
94,1M,臺中市,yellow,841271,1418987,9768,5287,191,3354,935,0.923,0,0,54,4,45,3461
94,2M,臺中市,yellow,843259,1422400,8188,4362,106,2865,855,0.857,0,156,89,12,47,3664
94,3M,臺中市,orange,846745,1426417,8531,4464,93,3034,939,0.806,1,3,73,9,70,4367
94,4M,臺中市,yellow,849776,1428401,8420,4302,101,3099,917,0.823,0,2,78,13,67,3961
94,5M,臺中市,yellow,852829,1431702,8812,4586,100,3176,950,0.833,0,2,33,13,39,3383
94,6M,臺中市,yellow,857090,1436640,9523,4786,98,3610,1029,0.931,3,2,14,14,55,3967
94,7M,臺中市,orange,861989,1441559,9105,4596,74,3456,978,0.862,0,2,92,15,69,3816
94,8M,臺中市,yellow,862961,1446503,9768,5106,242,3583,837,0.924,1,2,89,18,60,3624
94,9M,臺中市,orange,866312,1454277,8975,4432,98,3596,849,0.877,0,0,43,8,67,3469
94,10M,臺北市,yellow,0,0,9097,4745,168,3333,852,0.865,1,2,12,6,37,1634
94,11M,臺北市,yellow,0,0,8672,4569,80,3275,748,0.853,0,3,112,6,44,614
94,12M,臺北市,yellow,0,0,8673,4484,128,3307,753,0.826,3,5,11,5,78,413
94,1M,臺北市,yellow,0,0,8775,4602,63,3221,889,0.83,0,0,0,9,50,4549
94,2M,臺北市,yellow,0,0,9707,5199,142,3429,936,1.017,1,3,29,10,35,2668
94,3M,臺北市,yellow,0,0,8651,4435,71,3255,889,0.819,1,1,108,5,55,4041
94,4M,臺北市,yellow,0,0,9152,4802,75,3467,808,0.895,0,2,28,10,61,3524
94,5M,臺北市,yellow,0,0,9326,4860,77,3441,948,0.883,4,2,11,25,55,4422
94,6M,臺北市,yellow,0,0,9186,4695,88,3451,952,0.9,1,3,239,21,79,4059
94,7M,臺北市,yellow,0,0,9272,4852,81,3429,909,0.881,3,4,27,11,99,4171
94,8M,臺北市,yellow,0,0,10081,5278,111,3773,920,0.958,4,0,40,18,58,1425
94,9M,臺北市,yellow,0,0,10008,5338,354,3451,865,0.983,1,3,6,15,90,721
94,10M,臺東縣,green,64592,162687,8539,4517,121,3257,644,0.818,0,5,151,9,56,5239
94,11M,臺東縣,green,64809,162955,8230,4181,108,3278,662,0.814,1,2,159,44,80,2373
94,12M,臺東縣,yellow,64982,163131,8462,4424,144,3292,602,0.81,1,5,62,47,61,1661
94,1M,臺東縣,yellow,62715,158535,9382,4906,434,3326,717,0.894,0,0,7,4,37,2
94,2M,臺東縣,green,62890,158815,8444,4454,73,3173,744,0.891,0,2,0,3,29,1
94,3M,臺東縣,yellow,62972,159055,8213,4308,156,3011,739,0.783,0,0,5,2,55,1
94,4M,臺東縣,yellow,63135,159420,8119,4226,61,3053,780,0.8,1,4,3,15,88,4993
94,5M,臺東縣,green,63285,159949,8807,4540,107,3326,833,0.841,1,2,11,17,89,5214
94,6M,臺東縣,green,63557,160491,8969,4674,69,3388,838,0.885,2,4,8,12,88,5171
94,7M,臺東縣,green,63979,160955,9005,4588,94,3489,833,0.861,3,3,136,4,84,5189
94,8M,臺東縣,green,64105,161654,8961,4552,156,3452,801,0.857,1,1,157,21,94,5095
94,9M,臺東縣,green,64325,162412,8866,4529,124,3444,769,0.877,3,2,54,60,81,4477
94,10M,臺南市,orange,560745,1241312,8449,4295,32,3432,691,0.813,1,1,202,35,138,5557
94,11M,臺南市,red,561961,1243530,8428,4365,31,3352,681,0.838,3,3,144,54,129,4870
94,12M,臺南市,orange,563863,1245666,8523,4412,33,3401,676,0.82,0,3,379,22,62,3011
94,1M,臺南市,orange,543182,1205053,9879,5437,109,3666,667,0.946,0,4,1,1,8,15
94,2M,臺南市,orange,544493,1208319,7890,4092,47,3062,689,0.808,0,2,3,3,27,2115
94,3M,臺南市,orange,547047,1212246,8507,4522,64,3187,733,0.815,0,2,0,4,114,4532
94,4M,臺南市,orange,548909,1214621,8172,4258,74,3111,728,0.81,1,0,47,6,59,3956
94,5M,臺南市,yellow,551211,1218073,8508,4541,49,3204,715,0.816,0,3,78,19,111,4467
94,6M,臺南市,yellow,553613,1222359,8980,4793,44,3378,765,0.891,3,6,307,35,87,4170
94,7M,臺南市,yellow,556183,1226926,8723,4577,43,3352,751,0.838,1,1,106,35,135,4570
94,8M,臺南市,yellow,557223,1230968,8622,4585,51,3281,705,0.829,3,3,406,34,90,4072
94,9M,臺南市,orange,559673,1237320,8079,4255,34,3159,631,0.803,1,2,93,27,93,4949
94,10M,澎湖縣,yellow,19797,60176,8643,4529,30,3501,583,0.835,2,1,410,45,104,5183
94,11M,澎湖縣,yellow,19919,60228,8491,4407,33,3465,586,0.847,0,0,4,32,81,2944
94,12M,澎湖縣,yellow,20033,60278,9156,4599,39,3947,570,0.885,8,2,267,33,77,57
94,1M,澎湖縣,yellow,19200,58001,8283,4728,36,2899,620,0.797,2,7,138,12,85,1745
94,2M,澎湖縣,yellow,19232,58118,9635,4866,37,4143,589,1.027,0,0,78,19,69,7067
94,3M,澎湖縣,yellow,19358,58550,8328,4314,32,3379,603,0.802,2,3,115,29,84,8239
94,4M,澎湖縣,yellow,19446,58774,8472,4477,31,3360,604,0.844,1,0,23,22,70,9546
94,5M,澎湖縣,green,19513,59072,8785,4691,28,3404,663,0.847,2,4,150,61,81,8617
94,6M,澎湖縣,green,19587,59375,8827,4652,36,3468,671,0.88,2,1,26,43,103,9663
94,7M,澎湖縣,yellow,19636,59641,9084,4805,31,3559,690,0.876,0,0,119,36,111,13124
94,8M,澎湖縣,yellow,19606,59757,8998,4758,27,3548,665,0.868,6,2,89,13,102,10094
94,9M,澎湖縣,yellow,19744,60084,8517,4654,32,3201,630,0.85,1,2,124,19,76,12258
95,10M,宜蘭縣,yellow,131287,275072,8947,4460,230,3652,605,0.865,2,2,137,42,108,10012
95,11M,宜蘭縣,yellow,131534,275198,8360,4265,134,3386,575,0.836,0,3,258,30,72,9487
95,12M,宜蘭縣,yellow,131905,275286,8680,4480,63,3504,633,0.84,0,1,113,20,61,3287
95,1M,宜蘭縣,yellow,129762,271140,9388,4949,83,3792,564,0.907,3,4,286,13,44,9324
95,2M,宜蘭縣,yellow,129762,271720,8894,4414,84,3785,611,0.952,0,1,2,21,55,9444
