AQI,City,YMD,Station,SO2,CO,O3,PM10,PM25,NO2
44.44444444,新竹縣,5-Feb,湖口,4.714285714,5.681818182,25,44.44444444,0,13.41509434
45.37037037,新竹縣,5-Feb,竹東,3,8.181818182,18.42592593,45.37037037,0,18.28301887
48.14814815,苗栗縣,5-Feb,苗栗,8.428571429,7.386363636,18.14814815,48.14814815,0,18.75471698
49.07407407,苗栗縣,5-Feb,頭份,0,6.818181818,22.12962963,49.07407407,0,18.44339623
34.25925926,苗栗縣,5-Feb,三義,3.714285714,5.454545455,21.01851852,34.25925926,0,15.99056604
52.4,彰化縣,5-Feb,二林,4.714285714,5.340909091,23.24074074,52.4,0,15.16981132
55.2,彰化縣,5-Feb,彰化,6.428571429,8.068181818,14.90740741,55.2,0,23.00943396
42.59259259,彰化縣,5-Feb,線西,7.571428571,5.795454545,22.31481481,42.59259259,0,22.70754717
123.037037,南投縣,5-Feb,南投,6.428571429,11.13636364,14.16666667,59.4,123.037037,29.3490566
102.2962963,南投縣,5-Feb,埔里,2,10.22727273,20.55555556,61.5,102.2962963,20.56603774
64.3,南投縣,5-Feb,竹山,3.571428571,7.386363636,19.25925926,64.3,0,22.16037736
136,雲林縣,5-Feb,斗六,5,7.5,16.2962963,67.1,136,21.18867925
112.6666667,雲林縣,5-Feb,崙背,4.142857143,5.568181818,22.03703704,58,112.6666667,0
79.31658291,雲林縣,5-Feb,臺西,4.285714286,4.886363636,31.01851852,37.96296296,79.31658291,0
125.6296296,嘉義縣,5-Feb,新港,3.285714286,6.931818182,21.94444444,66.4,125.6296296,18.59433962
26.75925926,嘉義縣,5-Feb,朴子,4.428571429,6.022727273,26.75925926,0,0,14.89622642
157.3868613,屏東縣,5-Feb,屏東,7.428571429,9.204545455,21.94444444,74.8,157.3868613,21.33962264
152.2773723,屏東縣,5-Feb,潮州,8.714285714,5.454545455,22.68518519,74.1,152.2773723,15.98113208
33.88888889,屏東縣,5-Feb,恆春,3.142857143,2.045454545,33.88888889,16.66666667,0,3.132075472
45.45454545,臺東縣,5-Feb,臺東,4,6.704545455,23.42592593,26.85185185,45.45454545,9.018867925
52.23115578,花蓮縣,5-Feb,花蓮,4,8.75,15.92592593,27.77777778,52.23115578,17.30188679
69.46733668,澎湖縣,5-Feb,馬公,7.285714286,4.545454545,36.01851852,33.33333333,69.46733668,7.169811321
99.01507538,金門縣,5-Feb,金門,7.714285714,7.272727273,44.62962963,53.1,99.01507538,11.12264151
71.92964824,連江縣,5-Feb,馬祖,4.428571429,4.772727273,36.85185185,43.51851852,71.92964824,4.122641509
56.22666667,臺北市,5-Mar,陽明,3.571428571,3.75,56.22666667,33.33333333,0,3.867924528
60.1,臺北市,5-Mar,士林,6.142857143,7.727272727,29.90740741,60.1,0,24.03773585
62.9,臺北市,5-Mar,萬華,8.428571429,11.47727273,26.48148148,62.9,0,33.77358491
99.01507538,臺北市,5-Mar,中山,9.571428571,13.97727273,17.59259259,65,99.01507538,40.02830189
68.5,臺北市,5-Mar,大同,10,14.88636364,17.87037037,68.5,0,45.26415094
94.09045226,臺北市,5-Mar,古亭,8.142857143,10.34090909,24.90740741,60.1,94.09045226,34.81132075
65,臺北市,5-Mar,松山,7.714285714,10.11363636,27.40740741,65,0,33.29245283
151.2554745,新北市,5-Mar,三重,11.42857143,26.70454545,10.27777778,79.7,151.2554745,55.47391304
128.2222222,新北市,5-Mar,新莊,12.71428571,10.79545455,25.64814815,74.8,128.2222222,31.91509434
66.4,新北市,5-Mar,菜寮,9.285714286,13.40909091,22.96296296,66.4,0,35.45283019
112.6666667,新北市,5-Mar,永和,9,16.36363636,20.55555556,59.4,112.6666667,37.23584906
74.8,新北市,5-Mar,板橋,11.85714286,11.93181818,25.74074074,74.8,0,33.29245283
56.6,新北市,5-Mar,淡水,5.285714286,6.590909091,32.68518519,56.6,0,19.4245283
58,新北市,5-Mar,林口,8.285714286,5.795454545,11.11111111,58,0,22.1509434
68.5,新北市,5-Mar,土城,10.14285714,10.45454545,27.68518519,68.5,0,32.13207547
60.8,新北市,5-Mar,汐止,8.857142857,8.522727273,24.35185185,60.8,0,27.52830189
59.4,新北市,5-Mar,新店,6.285714286,7.613636364,32.22222222,59.4,0,22.91509434
84.24120603,新北市,5-Mar,萬里,5,4.318181818,45.27777778,45.37037037,84.24120603,9.377358491
53.1,臺中市,5-Mar,豐原,7.571428571,9.545454545,27.68518519,53.1,0,24.78301887
138.5925926,臺中市,5-Mar,大里,6.285714286,6.931818182,17.40740741,72.7,138.5925926,29.35849057
117.8518519,臺中市,5-Mar,沙鹿,7.142857143,6.704545455,35.55555556,62.9,117.8518519,20.40566038
73.4,臺中市,5-Mar,西屯,7.142857143,7.954545455,30.55555556,73.4,0,22.83018868
